Employee Name,Task Name,Match Score,Availability,Personality Score,Work Style Score
Aarav Sharma,test payment gateway,1,full-time,2,1
Sneha Nair,test payment gateway,1,freelance,2,1
Rohan Gupta,test payment gateway,1,full-time,2,3
Aarav Sharma,test payment gateway,0,part-time,2,3
Kabir Mehta,test payment gateway,1,freelance,2,1
Aarav Sharma,test payment gateway,0,part-time,2,1
Aditya Patel,test payment gateway,0,freelance,2,3
Ananya Verma,test payment gateway,1,freelance,2,3
Rohan Gupta,test payment gateway,0,full-time,2,3
Aditya Patel,test payment gateway,0,full-time,2,3
Sneha Nair,test payment gateway,1,full-time,2,1
Ishita Singh,test payment gateway,1,part-time,2,1
Aarav Sharma,test payment gateway,0,full-time,2,1
Kunal Joshi,test payment gateway,0,full-time,2,3
Aditya Patel,test payment gateway,1,full-time,2,3
Ananya Verma,optimize query performance,0,part-time,2,3
Priya Das,optimize query performance,0,freelance,2,1
Ananya Verma,optimize query performance,0,full-time,2,1
Aditya Patel,optimize query performance,0,full-time,2,3
Ananya Verma,optimize query performance,0,freelance,2,3
Aarav Sharma,optimize query performance,0,full-time,2,3
Meera Kapoor,optimize query performance,0,freelance,2,3
Rohan Gupta,optimize query performance,0,full-time,2,3
Priya Das,optimize query performance,0,full-time,2,3
Ananya Verma,optimize query performance,0,part-time,2,3
Meera Kapoor,optimize query performance,0,freelance,2,1
Priya Das,optimize query performance,0,full-time,2,3
Rohan Gupta,optimize query performance,0,freelance,2,3
Ishita Singh,optimize query performance,0,full-time,2,3
Ishita Singh,optimize query performance,0,part-time,2,3
Aarav Sharma,optimize query performance,0,full-time,2,1
Sneha Nair,optimize query performance,0,freelance,2,1
Rohan Gupta,optimize query performance,0,full-time,2,3
Aarav Sharma,optimize query performance,0,part-time,2,3
Kabir Mehta,optimize query performance,0,freelance,2,1
Aarav Sharma,optimize query performance,0,part-time,2,1
Aditya Patel,optimize query performance,0,freelance,2,3
Ananya Verma,optimize query performance,0,freelance,2,3
Rohan Gupta,optimize query performance,0,full-time,2,3
Aditya Patel,optimize query performance,0,full-time,2,3
Sneha Nair,optimize query performance,0,full-time,2,1
Ishita Singh,optimize query performance,0,part-time,2,1
Aarav Sharma,optimize query performance,0,full-time,2,1
Kunal Joshi,optimize query performance,0,full-time,2,3
Aditya Patel,optimize query performance,0,full-time,2,3
Ananya Verma,create marketing campaign,0,part-time,2,3
Priya Das,create marketing campaign,0,freelance,2,1
Ananya Verma,create marketing campaign,0,full-time,2,1
Aditya Patel,create marketing campaign,0,full-time,2,3
Ananya Verma,create marketing campaign,0,freelance,2,3
Aarav Sharma,create marketing campaign,0,full-time,2,3
Meera Kapoor,create marketing campaign,0,freelance,2,3
Rohan Gupta,create marketing campaign,0,full-time,2,3
Priya Das,create marketing campaign,0,full-time,2,3
Ananya Verma,create marketing campaign,0,part-time,2,3
Meera Kapoor,create marketing campaign,0,freelance,2,1
Priya Das,create marketing campaign,0,full-time,2,3
Rohan Gupta,create marketing campaign,0,freelance,2,3
Ishita Singh,create marketing campaign,0,full-time,2,3
Ishita Singh,create marketing campaign,0,part-time,2,3
Aarav Sharma,create marketing campaign,0,full-time,2,1
Sneha Nair,create marketing campaign,0,freelance,2,1
Rohan Gupta,create marketing campaign,0,full-time,2,3
Aarav Sharma,create marketing campaign,0,part-time,2,3
Kabir Mehta,create marketing campaign,0,freelance,2,1
Aarav Sharma,create marketing campaign,0,part-time,2,1
Aditya Patel,create marketing campaign,0,freelance,2,3
Ananya Verma,create marketing campaign,0,freelance,2,3
Rohan Gupta,create marketing campaign,0,full-time,2,3
Aditya Patel,create marketing campaign,0,full-time,2,3
Sneha Nair,create marketing campaign,0,full-time,2,1
Ishita Singh,create marketing campaign,0,part-time,2,1
Aarav Sharma,create marketing campaign,0,full-time,2,1
Kunal Joshi,create marketing campaign,0,full-time,2,3
Aditya Patel,create marketing campaign,0,full-time,2,3
Ananya Verma,set up ci/cd pipeline,1,part-time,2,3
Priya Das,set up ci/cd pipeline,0,freelance,2,1
Ananya Verma,set up ci/cd pipeline,1,full-time,2,1
Aditya Patel,set up ci/cd pipeline,0,full-time,2,3
Ananya Verma,set up ci/cd pipeline,1,freelance,2,3
Aarav Sharma,set up ci/cd pipeline,1,full-time,2,3
Meera Kapoor,set up ci/cd pipeline,0,freelance,2,3
Rohan Gupta,set up ci/cd pipeline,1,full-time,2,3
Priya Das,set up ci/cd pipeline,0,full-time,2,3
Ananya Verma,set up ci/cd pipeline,0,part-time,2,3
Meera Kapoor,set up ci/cd pipeline,1,freelance,2,1
Priya Das,set up ci/cd pipeline,0,full-time,2,3
Rohan Gupta,set up ci/cd pipeline,1,freelance,2,3
Ishita Singh,set up ci/cd pipeline,0,full-time,2,3
Ishita Singh,set up ci/cd pipeline,1,part-time,2,3
Aarav Sharma,set up ci/cd pipeline,1,full-time,2,1
Sneha Nair,set up ci/cd pipeline,1,freelance,2,1
Rohan Gupta,set up ci/cd pipeline,1,full-time,2,3
Aarav Sharma,set up ci/cd pipeline,0,part-time,2,3
Kabir Mehta,set up ci/cd pipeline,1,freelance,2,1
Aarav Sharma,set up ci/cd pipeline,0,part-time,2,1
Aditya Patel,set up ci/cd pipeline,0,freelance,2,3
Ananya Verma,set up ci/cd pipeline,1,freelance,2,3
Rohan Gupta,set up ci/cd pipeline,0,full-time,2,3
Aditya Patel,set up ci/cd pipeline,0,full-time,2,3
Sneha Nair,set up ci/cd pipeline,1,full-time,2,1
Ishita Singh,set up ci/cd pipeline,1,part-time,2,1
Aarav Sharma,set up ci/cd pipeline,0,full-time,2,1
Kunal Joshi,set up ci/cd pipeline,0,full-time,2,3
Aditya Patel,set up ci/cd pipeline,1,full-time,2,3
Ananya Verma,design logo,0,part-time,2,3
Priya Das,design logo,0,freelance,2,1
Ananya Verma,design logo,0,full-time,2,1
Aditya Patel,design logo,1,full-time,2,3
Ananya Verma,design logo,0,freelance,2,3
Aarav Sharma,design logo,0,full-time,2,3
Meera Kapoor,design logo,1,freelance,2,3
Rohan Gupta,design logo,1,full-time,2,3
Priya Das,design logo,0,full-time,2,3
Ananya Verma,design logo,0,part-time,2,3
Meera Kapoor,design logo,0,freelance,2,1
Priya Das,design logo,0,full-time,2,3
Rohan Gupta,design logo,0,freelance,2,3
Ishita Singh,design logo,1,full-time,2,3
Ishita Singh,design logo,0,part-time,2,3
Aarav Sharma,design logo,0,full-time,2,1
Sneha Nair,design logo,0,freelance,2,1
Rohan Gupta,design logo,0,full-time,2,3
Aarav Sharma,design logo,0,part-time,2,3
Kabir Mehta,design logo,0,freelance,2,1
Aarav Sharma,design logo,0,part-time,2,1
Aditya Patel,design logo,1,freelance,2,3
Ananya Verma,design logo,1,freelance,2,3
Rohan Gupta,design logo,0,full-time,2,3
Aditya Patel,design logo,1,full-time,2,3
Sneha Nair,design logo,1,full-time,2,1
Ishita Singh,design logo,1,part-time,2,1
Aarav Sharma,design logo,1,full-time,2,1
Kunal Joshi,design logo,1,full-time,2,3
Aditya Patel,design logo,0,full-time,2,3
Ananya Verma,develop chatbot,1,part-time,2,3
Priya Das,develop chatbot,0,freelance,2,1
Ananya Verma,develop chatbot,0,full-time,2,1
Aditya Patel,develop chatbot,0,full-time,2,3
Ananya Verma,develop chatbot,0,freelance,2,3
Aarav Sharma,develop chatbot,0,full-time,2,3
Meera Kapoor,develop chatbot,0,freelance,2,3
Rohan Gupta,develop chatbot,0,full-time,2,3
Priya Das,develop chatbot,1,full-time,2,3
Ananya Verma,develop chatbot,0,part-time,2,3
Meera Kapoor,develop chatbot,0,freelance,2,1
Priya Das,develop chatbot,0,full-time,2,3
Rohan Gupta,develop chatbot,1,freelance,2,3
Ishita Singh,develop chatbot,1,full-time,2,3
Ishita Singh,develop chatbot,1,part-time,2,3
Aarav Sharma,develop chatbot,0,full-time,2,1
Sneha Nair,develop chatbot,0,freelance,2,1
Rohan Gupta,develop chatbot,1,full-time,2,3
Aarav Sharma,develop chatbot,1,part-time,2,3
Kabir Mehta,develop chatbot,1,freelance,2,1
Aarav Sharma,develop chatbot,1,part-time,2,1
Aditya Patel,develop chatbot,0,freelance,2,3
Ananya Verma,develop chatbot,0,freelance,2,3
Rohan Gupta,develop chatbot,0,full-time,2,3
Aditya Patel,develop chatbot,0,full-time,2,3
Sneha Nair,develop chatbot,0,full-time,2,1
Ishita Singh,develop chatbot,0,part-time,2,1
Aarav Sharma,develop chatbot,0,full-time,2,1
Kunal Joshi,develop chatbot,0,full-time,2,3
Aditya Patel,develop chatbot,0,full-time,2,3
Ananya Verma,conduct user survey,0,part-time,2,3
Priya Das,conduct user survey,0,freelance,2,1
Ananya Verma,conduct user survey,0,full-time,2,1
Aditya Patel,conduct user survey,1,full-time,2,3
Ananya Verma,conduct user survey,0,freelance,2,3
Aarav Sharma,conduct user survey,0,full-time,2,3
Meera Kapoor,conduct user survey,1,freelance,2,3
Rohan Gupta,conduct user survey,1,full-time,2,3
Priya Das,conduct user survey,0,full-time,2,3
Ananya Verma,conduct user survey,0,part-time,2,3
Meera Kapoor,conduct user survey,0,freelance,2,1
Priya Das,conduct user survey,0,full-time,2,3
Rohan Gupta,conduct user survey,0,freelance,2,3
Ishita Singh,conduct user survey,1,full-time,2,3
Ishita Singh,conduct user survey,0,part-time,2,3
Aarav Sharma,conduct user survey,0,full-time,2,1
Sneha Nair,conduct user survey,0,freelance,2,1
Rohan Gupta,conduct user survey,0,full-time,2,3
Aarav Sharma,conduct user survey,0,part-time,2,3
Kabir Mehta,conduct user survey,0,freelance,2,1
Aarav Sharma,conduct user survey,0,part-time,2,1
Aditya Patel,conduct user survey,1,freelance,2,3
Ananya Verma,conduct user survey,1,freelance,2,3
Rohan Gupta,conduct user survey,0,full-time,2,3
Aditya Patel,conduct user survey,1,full-time,2,3
Sneha Nair,conduct user survey,1,full-time,2,1
Ishita Singh,conduct user survey,1,part-time,2,1
Aarav Sharma,conduct user survey,1,full-time,2,1
Kunal Joshi,conduct user survey,1,full-time,2,3
Aditya Patel,conduct user survey,0,full-time,2,3
Ananya Verma,implement search feature,0,part-time,2,3
Priya Das,implement search feature,0,freelance,2,1
Ananya Verma,implement search feature,0,full-time,2,1
Aditya Patel,implement search feature,0,full-time,2,3
Ananya Verma,implement search feature,0,freelance,2,3
Aarav Sharma,implement search feature,0,full-time,2,3
Meera Kapoor,implement search feature,0,freelance,2,3
Rohan Gupta,implement search feature,0,full-time,2,3
Priya Das,implement search feature,0,full-time,2,3
Ananya Verma,implement search feature,0,part-time,2,3
Meera Kapoor,implement search feature,0,freelance,2,1
Priya Das,implement search feature,0,full-time,2,3
Rohan Gupta,implement search feature,0,freelance,2,3
Ishita Singh,implement search feature,0,full-time,2,3
Ishita Singh,implement search feature,0,part-time,2,3
Aarav Sharma,implement search feature,0,full-time,2,1
Sneha Nair,implement search feature,0,freelance,2,1
Rohan Gupta,implement search feature,0,full-time,2,3
Aarav Sharma,implement search feature,0,part-time,2,3
Kabir Mehta,implement search feature,0,freelance,2,1
Aarav Sharma,implement search feature,0,part-time,2,1
Aditya Patel,implement search feature,0,freelance,2,3
Ananya Verma,implement search feature,0,freelance,2,3
Rohan Gupta,implement search feature,0,full-time,2,3
Aditya Patel,implement search feature,0,full-time,2,3
Sneha Nair,implement search feature,0,full-time,2,1
Ishita Singh,implement search feature,0,part-time,2,1
Aarav Sharma,implement search feature,0,full-time,2,1
Kunal Joshi,implement search feature,0,full-time,2,3
Aditya Patel,implement search feature,0,full-time,2,3
Ananya Verma,fix bug in auth,0,part-time,2,3
Priya Das,fix bug in auth,0,freelance,2,1
Ananya Verma,fix bug in auth,0,full-time,2,1
Aditya Patel,fix bug in auth,1,full-time,2,3
Ananya Verma,fix bug in auth,0,freelance,2,3
Aarav Sharma,fix bug in auth,0,full-time,2,3
Meera Kapoor,fix bug in auth,1,freelance,2,3
Rohan Gupta,fix bug in auth,1,full-time,2,3
Priya Das,fix bug in auth,0,full-time,2,3
Ananya Verma,fix bug in auth,0,part-time,2,3
Meera Kapoor,fix bug in auth,0,freelance,2,1
Priya Das,fix bug in auth,0,full-time,2,3
Rohan Gupta,fix bug in auth,0,freelance,2,3
Ishita Singh,fix bug in auth,1,full-time,2,3
Ishita Singh,fix bug in auth,0,part-time,2,3
Aarav Sharma,fix bug in auth,0,full-time,2,1
Sneha Nair,fix bug in auth,0,freelance,2,1
Rohan Gupta,fix bug in auth,0,full-time,2,3
Aarav Sharma,fix bug in auth,0,part-time,2,3
Kabir Mehta,fix bug in auth,0,freelance,2,1
Aarav Sharma,fix bug in auth,0,part-time,2,1
Aditya Patel,fix bug in auth,1,freelance,2,3
Ananya Verma,fix bug in auth,1,freelance,2,3
Rohan Gupta,fix bug in auth,0,full-time,2,3
Aditya Patel,fix bug in auth,1,full-time,2,3
Sneha Nair,fix bug in auth,1,full-time,2,1
Ishita Singh,fix bug in auth,1,part-time,2,1
Aarav Sharma,fix bug in auth,1,full-time,2,1
Kunal Joshi,fix bug in auth,1,full-time,2,3
Aditya Patel,fix bug in auth,0,full-time,2,3
Ananya Verma,data cleaning,0,part-time,2,3
Priya Das,data cleaning,0,freelance,2,1
Ananya Verma,data cleaning,0,full-time,2,1
Aditya Patel,data cleaning,1,full-time,2,3
Ananya Verma,data cleaning,0,freelance,2,3
Aarav Sharma,data cleaning,0,full-time,2,3
Meera Kapoor,data cleaning,1,freelance,2,3
Rohan Gupta,data cleaning,1,full-time,2,3
Priya Das,data cleaning,0,full-time,2,3
Ananya Verma,data cleaning,0,part-time,2,3
Meera Kapoor,data cleaning,0,freelance,2,1
Priya Das,data cleaning,0,full-time,2,3
Rohan Gupta,data cleaning,0,freelance,2,3
Ishita Singh,data cleaning,1,full-time,2,3
Ishita Singh,data cleaning,0,part-time,2,3
Aarav Sharma,data cleaning,0,full-time,2,1
Sneha Nair,data cleaning,0,freelance,2,1
Rohan Gupta,data cleaning,0,full-time,2,3
Aarav Sharma,data cleaning,0,part-time,2,3
Kabir Mehta,data cleaning,0,freelance,2,1
Aarav Sharma,data cleaning,0,part-time,2,1
Aditya Patel,data cleaning,1,freelance,2,3
Ananya Verma,data cleaning,1,freelance,2,3
Rohan Gupta,data cleaning,0,full-time,2,3
Aditya Patel,data cleaning,1,full-time,2,3
Sneha Nair,data cleaning,1,full-time,2,1
Ishita Singh,data cleaning,1,part-time,2,1
Aarav Sharma,data cleaning,1,full-time,2,1
Kunal Joshi,data cleaning,1,full-time,2,3
Aditya Patel,data cleaning,0,full-time,2,3
Ananya Verma,build recommendation system,0,part-time,2,3
Priya Das,build recommendation system,0,freelance,2,1
Ananya Verma,build recommendation system,0,full-time,2,1
Aditya Patel,build recommendation system,0,full-time,2,3
Ananya Verma,build recommendation system,0,freelance,2,3
Aarav Sharma,build recommendation system,0,full-time,2,3
Meera Kapoor,build recommendation system,0,freelance,2,3
Rohan Gupta,build recommendation system,0,full-time,2,3
Priya Das,build recommendation system,0,full-time,2,3
Ananya Verma,build recommendation system,0,part-time,2,3
Meera Kapoor,build recommendation system,0,freelance,2,1
Priya Das,build recommendation system,0,full-time,2,3
Rohan Gupta,build recommendation system,0,freelance,2,3
Ishita Singh,build recommendation system,0,full-time,2,3
Ishita Singh,build recommendation system,0,part-time,2,3
Aarav Sharma,build recommendation system,0,full-time,2,1
Sneha Nair,build recommendation system,0,freelance,2,1
Rohan Gupta,build recommendation system,0,full-time,2,3
Aarav Sharma,build recommendation system,0,part-time,2,3
Kabir Mehta,build recommendation system,0,freelance,2,1
Aarav Sharma,build recommendation system,0,part-time,2,1
Aditya Patel,build recommendation system,0,freelance,2,3
Ananya Verma,build recommendation system,0,freelance,2,3
Rohan Gupta,build recommendation system,0,full-time,2,3
Aditya Patel,build recommendation system,0,full-time,2,3
Sneha Nair,build recommendation system,0,full-time,2,1
Ishita Singh,build recommendation system,0,part-time,2,1
Aarav Sharma,build recommendation system,0,full-time,2,1
Kunal Joshi,build recommendation system,0,full-time,2,3
Aditya Patel,build recommendation system,0,full-time,2,3
Ananya Verma,analyze customer churn,1,part-time,2,3
Priya Das,analyze customer churn,0,freelance,2,1
Ananya Verma,analyze customer churn,0,full-time,2,1
Aditya Patel,analyze customer churn,0,full-time,2,3
Ananya Verma,analyze customer churn,0,freelance,2,3
Aarav Sharma,analyze customer churn,0,full-time,2,3
Meera Kapoor,analyze customer churn,0,freelance,2,3
Rohan Gupta,analyze customer churn,0,full-time,2,3
Priya Das,analyze customer churn,1,full-time,2,3
Ananya Verma,analyze customer churn,0,part-time,2,3
Meera Kapoor,analyze customer churn,0,freelance,2,1
Priya Das,analyze customer churn,0,full-time,2,3
Rohan Gupta,analyze customer churn,1,freelance,2,3
Ishita Singh,analyze customer churn,1,full-time,2,3
Ishita Singh,analyze customer churn,1,part-time,2,3
Aarav Sharma,analyze customer churn,0,full-time,2,1
Sneha Nair,analyze customer churn,0,freelance,2,1
Rohan Gupta,analyze customer churn,1,full-time,2,3
Aarav Sharma,analyze customer churn,1,part-time,2,3
Kabir Mehta,analyze customer churn,1,freelance,2,1
Aarav Sharma,analyze customer churn,1,part-time,2,1
Aditya Patel,analyze customer churn,0,freelance,2,3
Ananya Verma,analyze customer churn,0,freelance,2,3
Rohan Gupta,analyze customer churn,0,full-time,2,3
Aditya Patel,analyze customer churn,0,full-time,2,3
Sneha Nair,analyze customer churn,0,full-time,2,1
Ishita Singh,analyze customer churn,0,part-time,2,1
Aarav Sharma,analyze customer churn,0,full-time,2,1
Kunal Joshi,analyze customer churn,0,full-time,2,3
Aditya Patel,analyze customer churn,0,full-time,2,3
Ananya Verma,write unit tests,0,part-time,2,3
Priya Das,write unit tests,0,freelance,2,1
Ananya Verma,write unit tests,0,full-time,2,1
Aditya Patel,write unit tests,0,full-time,2,3
Ananya Verma,write unit tests,0,freelance,2,3
Aarav Sharma,write unit tests,0,full-time,2,3
Meera Kapoor,write unit tests,0,freelance,2,3
Rohan Gupta,write unit tests,0,full-time,2,3
Priya Das,write unit tests,0,full-time,2,3
Ananya Verma,write unit tests,0,part-time,2,3
Meera Kapoor,write unit tests,0,freelance,2,1
Priya Das,write unit tests,0,full-time,2,3
Rohan Gupta,write unit tests,0,freelance,2,3
Ishita Singh,write unit tests,0,full-time,2,3
Ishita Singh,write unit tests,0,part-time,2,3
Aarav Sharma,write unit tests,0,full-time,2,1
Sneha Nair,write unit tests,0,freelance,2,1
Rohan Gupta,write unit tests,0,full-time,2,3
Aarav Sharma,write unit tests,0,part-time,2,3
Kabir Mehta,write unit tests,0,freelance,2,1
Aarav Sharma,write unit tests,0,part-time,2,1
Aditya Patel,write unit tests,0,freelance,2,3
Ananya Verma,write unit tests,0,freelance,2,3
Rohan Gupta,write unit tests,0,full-time,2,3
Aditya Patel,write unit tests,0,full-time,2,3
Sneha Nair,write unit tests,0,full-time,2,1
Ishita Singh,write unit tests,0,part-time,2,1
Aarav Sharma,write unit tests,0,full-time,2,1
Kunal Joshi,write unit tests,0,full-time,2,3
Aditya Patel,write unit tests,0,full-time,2,3
Ananya Verma,ui prototyping,0,part-time,2,3
Priya Das,ui prototyping,0,freelance,2,1
Ananya Verma,ui prototyping,0,full-time,2,1
Aditya Patel,ui prototyping,0,full-time,2,3
Ananya Verma,ui prototyping,0,freelance,2,3
Aarav Sharma,ui prototyping,0,full-time,2,3
Meera Kapoor,ui prototyping,0,freelance,2,3
Rohan Gupta,ui prototyping,0,full-time,2,3
Priya Das,ui prototyping,0,full-time,2,3
Ananya Verma,ui prototyping,0,part-time,2,3
Meera Kapoor,ui prototyping,0,freelance,2,1
Priya Das,ui prototyping,0,full-time,2,3
Rohan Gupta,ui prototyping,0,freelance,2,3
Ishita Singh,ui prototyping,0,full-time,2,3
Ishita Singh,ui prototyping,0,part-time,2,3
Aarav Sharma,ui prototyping,0,full-time,2,1
Sneha Nair,ui prototyping,0,freelance,2,1
Rohan Gupta,ui prototyping,0,full-time,2,3
Aarav Sharma,ui prototyping,0,part-time,2,3
Kabir Mehta,ui prototyping,0,freelance,2,1
Aarav Sharma,ui prototyping,0,part-time,2,1
Aditya Patel,ui prototyping,0,freelance,2,3
Ananya Verma,ui prototyping,0,freelance,2,3
Rohan Gupta,ui prototyping,0,full-time,2,3
Aditya Patel,ui prototyping,0,full-time,2,3
Sneha Nair,ui prototyping,0,full-time,2,1
Ishita Singh,ui prototyping,0,part-time,2,1
Aarav Sharma,ui prototyping,0,full-time,2,1
Kunal Joshi,ui prototyping,0,full-time,2,3
Aditya Patel,ui prototyping,0,full-time,2,3
Ananya Verma,refactor legacy code,0,part-time,2,3
Priya Das,refactor legacy code,0,freelance,2,1
Ananya Verma,refactor legacy code,0,full-time,2,1
Aditya Patel,refactor legacy code,0,full-time,2,3
Ananya Verma,refactor legacy code,0,freelance,2,3
Aarav Sharma,refactor legacy code,0,full-time,2,3
Meera Kapoor,refactor legacy code,0,freelance,2,3
Rohan Gupta,refactor legacy code,0,full-time,2,3
Priya Das,refactor legacy code,0,full-time,2,3
Ananya Verma,refactor legacy code,0,part-time,2,3
Meera Kapoor,refactor legacy code,0,freelance,2,1
Priya Das,refactor legacy code,0,full-time,2,3
Rohan Gupta,refactor legacy code,0,freelance,2,3
Ishita Singh,refactor legacy code,0,full-time,2,3
Ishita Singh,refactor legacy code,0,part-time,2,3
Aarav Sharma,refactor legacy code,0,full-time,2,1
Sneha Nair,refactor legacy code,0,freelance,2,1
Rohan Gupta,refactor legacy code,0,full-time,2,3
